四半期,国内総生産(支出側),民間最終消費支出,家計最終消費支出,除く持ち家の帰属家賃,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,純輸出,輸出,輸入,純受取,受取,支払,国民総所得,国内需要,民間需要,公的需要,総固定資本形成,最終需要
2008/ 1- 3.,537592 ,298161 ,292321 ,243710 ,20306 ,88864 ,1662 ,96011 ,25737 ,171 ,6682 ,95215 ,88533 ,16631 ,22794 ,6164 ,554223 ,530911 ,408992 ,121918 ,134906 ,535760 
4- 6.,533967 ,294949 ,289147 ,240375 ,21449 ,87913 ,4704 ,95009 ,25113 ,(39),4869 ,95639 ,90771 ,13147 ,19175 ,6028 ,547114 ,529098 ,409016 ,120083 ,134476 ,529302 
7- 9.,523319 ,295487 ,289722 ,240704 ,22180 ,86788 ,(869),94324 ,25373 ,(88),123 ,98382 ,98259 ,13998 ,19587 ,5589 ,537317 ,523196 ,403587 ,119609 ,134342 ,524276 
10-12.,516580 ,288488 ,282725 ,233688 ,21835 ,83141 ,6696 ,95322 ,25079 ,100 ,(4082),75500 ,79582 ,12488 ,17740 ,5252 ,529067 ,520662 ,400161 ,120501 ,130055 ,509783 
2009/ 1- 3.,492229 ,284214 ,278424 ,229361 ,19734 ,77027 ,(4742),94712 ,25479 ,(59),(4135),53444 ,57579 ,11625 ,16107 ,4481 ,503855 ,496365 ,376233 ,120132 ,122241 ,497031 
4- 6.,498085 ,285284 ,279476 ,230346 ,17573 ,73935 ,(4476),95395 ,26979 ,23 ,3372 ,59182 ,55811 ,13061 ,17030 ,3968 ,511147 ,494714 ,372317 ,122397 ,118487 ,502538 
7- 9.,493620 ,285294 ,279480 ,230311 ,16223 ,71461 ,(5962),96368 ,26353 ,50 ,3834 ,64693 ,60860 ,12447 ,16302 ,3855 ,506066 ,489786 ,367016 ,122770 ,114037 ,499532 
10-12.,496237 ,285937 ,280097 ,230897 ,15685 ,70660 ,(4793),96452 ,26688 ,38 ,5571 ,68473 ,62902 ,12379 ,15955 ,3576 ,508616 ,490667 ,367488 ,123178 ,113033 ,500992 
2010/ 1- 3.,501498 ,286505 ,280617 ,231392 ,16556 ,71250 ,(3321),96048 ,26936 ,105 ,7419 ,73215 ,65796 ,13350 ,17294 ,3944 ,514847 ,494079 ,370991 ,123088 ,114742 ,504714 
4- 6.,505212 ,287909 ,282009 ,232751 ,16650 ,71914 ,(1245),97299 ,25506 ,(23),7203 ,76678 ,69476 ,13015 ,17270 ,4254 ,518227 ,498009 ,375228 ,122781 ,114070 ,506480 
7- 9.,510924 ,289926 ,284025 ,234703 ,16848 ,72421 ,1986 ,97641 ,25226 ,(133),7009 ,76262 ,69253 ,13740 ,17805 ,4065 ,524663 ,503915 ,381181 ,122734 ,114495 ,509070 
